EntryNum	Species_CN	Species_Latin	Genus_CN	Genus_Latin	Family_CN	Family_Latin	DiseaseName	Viruses	Symptoms	Figures	Description
54	鸡冠花	Celosia cristata	青箱属(属		苋科	Amaranthaceae		有一例关于鸡冠花花叶病		1	鸡冠花，一年生草本植物，原产于印度、美洲热带地区和非洲，现在我国南方和北 方各地均有栽培，广泛分布于温暖地区。鸡冠花的花朵为穗状，大多扁平而肥厚，呈现 鸡冠状，红色、紫色、黄色、橙色或红色黄色相间，具有一定的观赏性。此外，花和种 子有一定的药用价值，有止血、凉血、止泻的功效。
55	地肤	Bassia scoparia	沙冰藜属(属		苋科	Amaranthaceae				1	地肤，俗名扫帚苗(地肤变形)、扫帚菜、观音菜、孔雀松、碱地肤， 一年生草本 植物，全国各省份均有分布，生长于田边、路旁、荒地等处。地肤的幼苗及嫩茎叶可炒 食或做馅，老株可用来做扫帚，果实(地肤子)可入药，有清热利湿，祛风止痒的功 效。地肤也可用于布置花篱、花境，或数株丛植于花坛中央。
58	五叶地锦	Parthenocissus quinquefolia	葡萄属(属		葡萄科	Vitaceae		grapevine  fleck  virus; 葡萄浆果内坏死病毒; grapevine redglobe virus; grapevine berry  inner necrosis virus; grapevine rupestris  vein feathering virus; grapevine syrah  virus; grapevine fanleaf virus; grapevine Pinot gris virus		4	葡萄，落叶木质藤本植物，广泛分布于热带、亚热带和温带地区。葡萄原产于亚洲 西部，现在世界范围内广泛种植，世界各地的葡萄约95%集中分布在北半球，我国葡萄 的主要产区有安徽的萧县，新疆的吐鲁番市、和田地区，山东的烟台市，河北的张家口 市、昌黎县，辽宁的大连市、营口市鲅鱼圈区熊岳镇、沈阳市及河南的西平县芦庙乡、 民权县、兰考县仪封镇等地。
59	锦带花	Weigela florida	锦带花属(属		忍冬科	Caprifoliaceae				1	锦带花俗名旱锦带花、海仙、锦带、早锦带花，落叶灌木，广泛分布于我国的东北 地区、华北地区以及山西和江苏北部等地。因其花朵呈漏斗形且颜色种类众多，被认为 是美化城市环境的优良材料。锦带花可用于清热、凉血、解毒、活血、止痛、抑菌以及 抗流感病毒等。除观赏价值和药用价值外，锦带花还可净化空气，提高空气质量。
60	金银忍冬	Lonicera  maackii	忍冬属(属		忍冬科	Caprifoliaceae		地区发现金银忍冬曲叶病	发病初期叶片轻微皱缩，后期叶片向上卷曲并逐渐加重，严 重时则叶片扭曲畸形，如图60所示。	1	金银忍冬俗称金银木、王八骨头，为落叶灌木，主要分布于我国的东北、华北、西 北地区，生于林缘溪流旁和林下。金银忍冬果成熟时呈暗红色，近圆形，特别醒目，是 我国北方城市和乡村珍贵的绿化观赏树种。此外，其叶片有解热、增强免疫力及抑菌作 用，幼叶及花可做茶的代用品，根有杀菌截疟作用。
61	鸡树条	Viburnum opulus subsp.   calvescens	荚速属(属		荚速科	Viburnaceae				1	鸡树条又名老辞眼、天目琼花、鸡树条荚莱，落叶灌木植物，分布于黑龙江、吉 林、辽宁、河北北部、山西、陕西南部、甘肃南部、河南西部、山东、安徽南部和西 部、浙江西北部、江西、湖北和四川，生于溪谷边疏林下或灌丛中。鸡树条耐寒性强， 根系发达，移植容易成活，是适宜在北方园林种植的优良观赏树种。它不仅观赏价值极 高，而且对治疗关节酸痛、跌打挫伤、疮疖、疥癣等亦有效果。
62	接骨木	Sambucus  williamsii	接骨木属(属		荚速科	Viburnaceae				0	Dana  Šafářová等人在捷克西洋接骨 木病株的叶片上检测到接骨木病毒 S(  sambucus  virus   S) 和接骨木病 毒 1 ( sambucus  virus   1)。编者在辽 宁省沈阳市发现接骨木病毒病害，
63	律草	Humulus scandens	萑草属(属		大麻科	Cannabaceae			典型症状，通过血清检测确定CMV 、ToMV 、TuMV、 BBWV2 、TMV 、PVY 和PVX 可以侵染律草，并且多种病毒复合侵染现象严重。	1	律草别名拉拉藤(秧、蔓)、五爪龙、勒草、锯子草、降龙草或牵牛藤， 一年生或 多年生缠绕草本，茎、枝、叶柄均具有倒钩刺，在我国南方和北方各省份(除新疆、青 海外)均有分布，常生长于沟边、荒地、废墟、林缘。本草可作药用，茎皮纤维可作造 纸原料，种子油可制肥皂，果穗可代啤酒花用。
64	黑弹树	Celtis  bungeana	朴属(属		大麻科	Cannabaceae				1	黑弹树别名小叶朴、黑弹朴，落叶乔木，在我国广泛分布，分布范围为辽宁南部和 华北、华东、华中地区，西达云南高原的东南部和青藏高原东部，多生长于路旁、山 坡、灌丛或林边。黑弹树树形美观，树冠圆满宽广，绿荫浓郁，是城乡绿化的良好树 种，也是河岸防风固堤的良好树种。黑弹树木材坚硬，可供工业用材；茎皮为造纸和人 造棉原料；果实可榨油作润滑油；树皮、根皮可入药，能治腰痛等病。
65	铁苋菜	Acalypha australis	铁苋菜属(属		大戟科	Enphorbiaceae				1	铁苋菜又称蛤蜊花、海蚌含珠、蚌 壳草， 一年生或多年生草本，喜湿润， 在高山和平坝的一般土壤都可以生长， 分布于热带和亚热带地区，主产于长江  流域以南各地，在我国较为常见。铁苋 菜全草可入药，具有清热利湿、止血收  敛之功效。
66	佛肚树	Jatropha podagrica	麻风树属(属		大戟科	Enphorbiaceae				1	佛肚树又名珊瑚花、玉珊瑚树等，直立灌木，多年生常绿植物，原产于中美洲或南 美洲热带地区，现在我国许多省份作为观赏植物栽培，亦被花卉爱好者栽培。佛肚树全 株皆可入药，具有清热解毒、消肿止痛的功效，可治疗毒蛇咬伤，其根用于治疗面黄肌 瘦、疲乏无力、不思饮食、尿急、尿痛等，研究表明其含有丰富的萜类成分。
67	扛板归	Persicaria perfoliata	蓼属(属		大戟科	Polygonaceae				1	扛板归别名刺犁头、老虎利、老虎刺、犁尖草、三角盐酸、贯叶蓼等， 一年生草本， 分布于朝鲜、日本、印度尼西亚、菲律宾、印度、俄罗斯(西伯利亚地区)和中国，生 长于田边、路旁、山谷湿地。扛板归茎攀援，多分枝，具纵棱，沿棱具稀疏的倒生皮刺。 它主要靠种子繁殖传播扩散，生长迅速，结实量高，传播快。扛板归集食、饲、药用于 一身，不仅可以采集加工成可口的菜肴，也是优质畜禽饲用植物，正常食用、喂饲有利 于人畜健
68	卷茎蓼	Fallopia convolvulus	藤蓼属(属		大戟科	Polygonaceae				1	
